id,region,created_at,updated_at
1,Tarapaca,2022-07-06 11:02:37-04,
2,Antofagasta,2022-07-06 11:03:28-04,
3,Atacama,2022-07-06 11:03:31-04,
4,Coquimbo,2022-07-06 11:03:36-04,
5,Valparaiso,2022-07-06 11:03:39-04,
6,Libertador General Bernardo O Higgins,2022-07-06 11:03:56-04,
7,Maule,2022-07-06 11:03:57-04,
8,Biobío,2022-07-06 11:03:58-04,
9,La Araucanía,2022-07-06 11:03:59-04,
10,Los Lagos,2022-07-06 11:04:01-04,
11,Aysén del General Carlos Ibáñez del Campo,2022-07-06 11:04:03-04,
12,Magallanes y de la Antártica Chilena,2022-07-06 11:04:04-04,
13,Metropolitana de Santiago,2022-07-06 11:04:07-04,
14,Los Ríos,2022-07-06 11:04:09-04,
15,Arica y Parinacota,2022-07-06 11:04:13-04,
16,Ñuble,2022-07-06 11:04:15-04,